rider_name,year,uci_points
boris vallee,2019,228.0
jon aberasturi,2019,227.0
mark padun,2019,227.0
roman kreuziger,2019,227.0
dmitriy gruzdev,2019,226.7
francisco mancebo,2019,226.0
kamil malecki,2019,226.0
daniil fominykh,2019,225.7
evgeny shalunov,2019,224.4
tony martin,2019,223.61000180244446
joni brandao,2019,223.0
sergio luis henao,2019,222.0
jay mccarthy,2019,221.0
jayde julius,2019,221.0
pierpaolo ficara,2019,221.0
koen bouwman,2019,220.42000031471252
jonas rutsch,2019,220.0
segundo navarrete,2019,220.0
robert gesink,2019,219.6
gregor muhlberger,2019,219.5
milan menten,2019,219.0
nick schultz,2019,219.0
david de la cruz,2019,218.8
mykhaylo kononenko,2019,218.0
tosh van der sande,2019,218.0
adam de vos,2019,217.0
amanuel ghebreigzabhier,2019,216.0
enrico gasparotto,2019,216.0
georg zimmermann,2019,215.0
aurelien paret peintre,2019,214.0
mathias norsgaard,2019,213.5
hernan aguirre,2019,213.0
georgios bouglas,2019,212.4
benjamin prades reverter,2019,212.0
clement venturini,2019,212.0
damien touze,2019,212.0
quentin jauregui,2019,212.0
jakub mareczko,2019,211.32999992370605
joris nieuwenhuis,2019,210.0
julien duval,2019,209.0
pim ligthart,2019,209.0
matteo sobrero,2019,208.0
mikel bizkarra,2019,208.0
anthony delaplace,2019,207.0
charalampos kastrantas,2019,207.0
ethan hayter,2019,207.0
ryan cavanagh,2019,207.0
sam oomen,2019,206.4
francesco gavazzi,2019,206.0
pierre rolland,2019,206.0
dario cataldo,2019,205.5
gianni vermeersch,2019,205.3
zakkari dempster,2019,205.0
frederik backaert,2019,204.0
jesse ewart,2019,203.7
brent van moer,2019,201.9
kilian frankiny,2019,201.0
quinten hermans,2019,201.0
julio alexis camacho,2019,200.0
simone ravanelli,2019,200.0
martin laas,2019,199.0
patryk stosz,2019,199.0
victor de la parte,2019,199.0
benjamin declercq,2019,198.0
lucas eriksson,2019,196.9
zhandos bizhigitov,2019,196.67000007629395
jan bakelants,2019,196.2
fernando barcelo,2019,196.0
antonio pedrero,2019,195.0
jefferson alexander cepeda,2019,195.0
marco canola,2019,194.0
stanislau bazhkou,2019,194.0
ian garrison,2019,193.0
joao almeida,2019,193.0
hugo houle,2019,192.0
imerio cima,2019,192.0
lasse norman hansen,2019,190.0
clint hendricks,2019,189.0
romain combaud,2019,189.0
lawrence warbasse,2019,187.0
moise mugisha,2019,186.3
ilan van wilder,2019,185.7
ildar arslanov,2019,185.0
nick van der lijke,2019,185.0
damiano caruso,2019,183.9
alexander konychev,2019,183.0
jan tratnik,2019,182.2
andrey amador,2019,182.0
nickolas zukowsky,2019,182.0
jan willem van schip,2019,181.0
jhonatan restrepo,2019,181.0
magnus cort nielsen,2019,181.0
filippo zaccanti,2019,180.0
robin carpenter,2019,180.0
luke durbridge,2019,177.6
antonio carvalho,2019,177.0
michal paluta,2019,176.0
pieter serry,2019,176.0
vicente garcia de mateus rubio,2019,176.0
grzegorz stepniak,2019,175.0
dries devenyns,2019,174.9
nicolas roche,2019,174.8
fabien doubey,2019,173.0
jean pierre drucker,2019,171.5
dimitri peyskens,2019,171.0
edward planckaert,2019,171.0
kent main,2019,170.5
oleksandr polivoda,2019,169.4
matteo moschetti,2019,169.0
carlos verona,2019,168.0
niklas eg,2019,168.0
patrik tybor,2019,168.0
thibault ferasse,2019,168.0
alex molenaar,2019,167.0
jonathan castroviejo,2019,166.42000007629395
enrique sanz,2019,166.0
andriy vasylyuk,2019,165.0
kaden groves,2019,165.0
martin toft madsen,2019,165.0
raymond kreder,2019,165.0
julien trarieux,2019,164.0
josip rumac,2019,163.0
mikel iturria,2019,162.0
emil vinjebo,2019,161.0
joseph areruya,2019,161.0
andreas schillinger,2019,160.8
matteo pelucchi,2019,160.0
matthew walls,2019,160.0
phil bauhaus,2019,159.9
andrey zeits,2019,159.0
etienne van empel,2019,158.0
jonas koch,2019,158.0
ben o connor,2019,157.0
eduardo sepulveda,2019,157.0
stijn vandenbergh,2019,157.0
guillaume boivin,2019,156.0
markus hoelgaard,2019,156.0
matteo badilatti,2019,156.0
mauro finetto,2019,156.0
rafael valls,2019,156.0
jerome cousin,2019,155.6699981689453
benjamin perry,2019,155.0
damiano cima,2019,155.0
domen novak,2019,155.0
fabio aru,2019,155.0
