rider_name,year,Number_of_participated_one_day_races_current_year,Number_of_participated_multi_day_races_current_year,win_ratio_all_time,top3_ratio_all_time,top5_ratio_all_time,top10_ratio_all_time,stage_win_ratio_all_time,stage_top3_ratio_all_time,stage_top5_ratio_all_time,stage_top10_ratio_all_time,win_ratio,top3_ratio,top5_ratio,top10_ratio,stage_win_ratio,stage_top3_ratio,stage_top5_ratio,stage_top10_ratio,pcs_rank_previous_year,pcs_rank_current_year,pcs_points_previous_year,pcs_points_current_year,rank_avg_last3years,pcs_points_avg_last3years,age,career year,rider_bmi,win_ratio_last3years,top3_ratio_last3years,top5_ratio_last3years,top10_ratio_last3years,stage_win_ratio_last3years,stage_top3_ratio_last3years,stage_top5_ratio_last3years,stage_top10_ratio_last3years,Number_of_participated_one_day_races_all_time,Number_of_participated_multi_day_races_all_time,Number_of_participated_one_day_races_last3years,Number_of_participated_multi_day_races_last3years,rank_stdev_last3years,pcs_points_stdev_last3years,win_ratio_stdev_last3years,top3_ratio_stdev_last3years,top5_ratio_stdev_last3years,top10_ratio_stdev_last3years,stage_win_ratio_stdev_last3years,stage_top3_ratio_stdev_last3years,stage_top5_ratio_stdev_last3years,stage_top10_ratio_stdev_last3years,win_ratio_slope,stage_win_ratio_slope,top3_ratio_slope,top5_ratio_slope,top10_ratio_slope,stage_top3_ratio_slope,stage_top5_ratio_slope,stage_top10_ratio_slope,RankY1,RankY2,RankY3,RankY4,RankY5,result_milano-sanremo,result_cyclassics-hamburg,result_liege-bastogne-liege,result_il-lombardia,result_strade-bianche,result_great-ocean-race,result_la-fleche-wallone,result_amstel-gold-race,result_san-sebastian,result_bretagne-classic,result_gp-quebec,result_gp-montreal,result_ronde-van-vlaanderen,result_paris-roubaix,result_e3-harelbeke,result_gent-wevelgem,result_tour-de-france,result_giro-d-italia,result_vuelta-a-espana,result_tour-down-under,result_paris-nice,result_tirreno-adriatico,result_volta-a-catalunya,result_itzulia-basque-country,result_tour-de-romandie,result_dauphine,result_tour-de-suisse,result_tour-de-pologne
stefan-van-dijk-1,2008,25,50,0.0817610062893081,0.2327044025157232,0.3081761006289308,0.44654088050314455,0.036,0.12,0.178,0.296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71,79,583.0,562.0,149.99999999999997,1144.9999999999998,32,13,22.096807907073963,0.0,0.2727272727272727,0.3636363636363636,0.5454545454545454,0.0109890109890109,0.1098901098901098,0.1758241758241758,0.3406593406593406,159,500,44,90,43.4856298103178,330.69976312863207,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.020220588235294046,-0.010256410256410251,-0.06004901960784316,-0.056274865018471176,-0.0440288434214266,-0.029352233941057185,-0.029435346345841558,-0.03989657075981474,174,55,65,467,498,23,67,55,27,32,17,34,44,26,45,53,48,37,39,21,96,112,46,71,41,41,50,17,41,24,73,67,97
stefan-van-dijk-1,2009,25,32,0.0706521739130434,0.2282608695652173,0.2989130434782608,0.42391304347826086,0.0338345864661654,0.1184210526315789,0.1748120300751879,0.3007518796992481,0.0,0.2,0.24,0.28,0.0,0.09375,0.125,0.375,79,174,562.0,306.0,107.99999999999999,483.66666666666663,33,13,22.096807907073963,0.0,0.2463768115942029,0.3188405797101449,0.4492753623188406,0.008130081300813,0.1056910569105691,0.1626016260162601,0.3495934959349593,184,532,69,122,57.29746940310716,154.22170188833132,0.0,0.0972379400740422,0.0907300848218609,0.15834788775016853,0.0115470053837925,0.0350145548119826,0.029445685318879398,0.0197983338541092,0.0,0.0,-0.08421052631578942,-0.09052631578947357,-0.14947368421052631,-0.026295731707316996,-0.022865853658536498,0.016768292682926768,55,65,467,498,998,105,61,39,10,28,33,48,32,42,53,25,40,58,48,14,80,83,55,99,64,76,49,44,26,38,56,85,41
stefano-garzelli,2007,11,66,0.0919540229885057,0.17241379310344832,0.2873563218390804,0.4022988505747126,0.0361990950226244,0.0889894419306184,0.1568627450980392,0.2579185520361991,0.0,0.0,0.1818181818181818,0.2727272727272727,0.0606060606060606,0.0909090909090909,0.1363636363636363,0.2424242424242424,26,84,923.0,542.0,66.0,657.3333333333335,34,12,20.244897959183675,0.1176470588235294,0.17647058823529413,0.3529411764705882,0.47058823529411753,0.0303030303030303,0.0555555555555555,0.0909090909090909,0.1565656565656565,86,663,34,198,34.698703145794944,230.7386689164461,0.1010362971081845,0.149381440663875,0.1454078470912582,0.1677102315396571,0.026234161875512203,0.0317693953580772,0.046544035721384,0.0751136807759693,-0.06250000000000003,0.022366522366522302,-0.125,-0.096590909090909,-0.11363636363636359,0.02164502164502158,0.020562770562770494,0.057720057720057664,40,23,88,150,401,47,50,21,65,2,45,23,20,29,37,64,50,29,38,23,45,56,16,36,32,21,19,32,14,56,65,53,25
stefano-garzelli,2008,17,53,0.0961538461538461,0.1826923076923076,0.2884615384615384,0.4134615384615384,0.0391061452513966,0.1005586592178771,0.1689944134078212,0.2695530726256983,0.1176470588235294,0.2352941176470588,0.2941176470588235,0.4705882352941176,0.0754716981132075,0.24528301886792447,0.32075471698113195,0.4150943396226414,84,40,542.0,843.0,49.99999999999999,769.3333333333335,35,13,20.244897959183675,0.1162790697674418,0.1860465116279069,0.3255813953488372,0.4651162790697674,0.0478723404255319,0.11170212765957438,0.1542553191489361,0.2393617021276596,104,716,43,187,30.26549190084312,200.89881366830753,0.10051769112138269,0.1457501685204324,0.1434822830999466,0.1648250604776156,0.0317958486035188,0.1113930379188528,0.1411323236692856,0.1570892157021379,-0.041176470588235294,0.030489472245009495,-0.015686274509803876,-0.08627450980392148,-0.06470588235294111,0.1081487558107738,0.1386382280557834,0.15682253213016129,23,88,150,401,998,38,51,31,8,7,61,51,46,63,41,38,24,12,24,42,45,97,8,9,112,54,52,8,26,50,60,25,83
stephen-cummings,2008,19,64,0.0333333333333333,0.0666666666666666,0.0833333333333333,0.15,0.0031645569620253,0.0253164556962025,0.0411392405063291,0.0791139240506329,0.0526315789473684,0.0526315789473684,0.0526315789473684,0.0526315789473684,0.015625,0.078125,0.125,0.21874999999999997,738,95,64.0,492.99999999999994,525.3333333333333,207.99999999999994,27,10,20.221606648199444,0.0238095238095238,0.0476190476190476,0.0714285714285714,0.0952380952380952,0.0060975609756097,0.0365853658536585,0.0609756097560975,0.1158536585365853,60,316,42,164,372.68798388643194,246.8217980649197,0.0303868562731381,0.0627591579879569,0.1317980631694449,0.2030256478027919,0.0090210979560879,0.0400428520521754,0.06040774415966099,0.0974876168597005,0.02631578947368421,0.007812499999999987,-0.03618421052631569,-0.09868421052631571,-0.16118421052631582,0.02715773809523802,0.050595238095237985,0.0736607142857142,359,337,139,267,489,55,31,95,73,47,36,44,48,46,102,58,29,54,64,9,31,35,96,46,69,34,32,47,54,49,46,84,40
stephen-cummings,2009,13,42,0.0410958904109589,0.0684931506849315,0.1095890410958904,0.1780821917808219,0.0027932960893854,0.0223463687150838,0.03631284916201109,0.0698324022346368,0.0769230769230769,0.0769230769230769,0.2307692307692307,0.3076923076923077,0.0,0.0,0.0,0.0,95,359,493.0,154.0,397.33333333333337,237.0000000000001,28,11,20.221606648199444,0.0425531914893617,0.0425531914893617,0.0851063829787234,0.1063829787234042,0.0060975609756097,0.030487804878048703,0.0548780487804878,0.0975609756097561,73,358,47,164,323.20942643019146,226.22334097082023,0.039322003466487,0.039322003466486996,0.1209390645248828,0.164570458397718,0.0090210979560879,0.0451054897804395,0.0677423864030246,0.1176116769908737,0.03846153846153837,0.0,0.03846153846153846,0.11538461538461531,0.15384615384615374,0.0,-0.00862068965517239,-0.017241379310344765,337,139,267,489,182,40,46,98,52,34,8,94,59,40,53,50,72,76,41,41,34,70,60,129,59,52,80,68,49,72,45,25,72
stephen-cummings,2010,9,91,0.0365853658536585,0.0609756097560975,0.10975609756097558,0.1707317073170731,0.0022271714922048,0.0200445434298441,0.0334075723830735,0.0601336302895322,0.0,0.0,0.1111111111111111,0.1111111111111111,0.0,0.0109890109890109,0.0219780219780219,0.0219780219780219,359,337,154.0,176.0,263.6666666666667,274.3333333333334,28,12,20.221606648199444,0.048780487804878,0.048780487804878,0.12195121951219509,0.1463414634146341,0.0050761421319796,0.0304568527918781,0.050761421319796905,0.0812182741116751,82,449,41,197,146.48321860654664,189.6900981425581,0.039322003466487,0.039322003466486996,0.0908028489630273,0.1336163649403799,0.0090210979560879,0.0422916757136284,0.0667352498130078,0.12045317713033289,-0.02631578947368421,-0.007812499999999987,-0.02631578947368421,0.029239766081871288,0.029239766081871288,-0.03356799450549451,-0.05151098901098901,-0.098385989010989,139,267,489,182,108,80,71,22,52,34,8,72,75,46,115,67,28,82,43,48,43,148,55,66,61,75,82,54,38,78,96,76,36
stephen-cummings,2011,9,58,0.0329670329670329,0.0659340659340659,0.10989010989010979,0.1648351648351648,0.0039447731755424,0.0236686390532544,0.0473372781065088,0.0808678500986193,0.0,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.0172413793103448,0.0517241379310344,0.1551724137931034,0.2413793103448276,337,139,176.0,386.00000000000006,278.3333333333333,238.66666666666683,30,13,20.221606648199444,0.032258064516129,0.064516129032258,0.1612903225806451,0.1935483870967742,0.0052356020942408,0.0209424083769633,0.0575916230366492,0.0837696335078534,91,507,31,191,121.16655204029423,128.06769043491545,0.044411559168432695,0.0569087873374307,0.0690846475953398,0.1134962067637726,0.009954314986028,0.027250368114357798,0.083966518588695,0.1334690539973125,-0.03846153846153837,0.008620689655172412,0.017094017094017026,-0.05982905982905978,-0.09829059829059822,0.025862068965517213,0.07758620689655173,0.12068965517241366,267,489,182,108,98,70,62,37,42,30,14,57,57,50,45,47,32,44,70,26,106,85,71,80,47,21,25,57,81,63,66,52,9
stephen-cummings,2012,7,75,0.0306122448979591,0.0612244897959183,0.1020408163265306,0.1530612244897959,0.0068728522336769,0.0240549828178694,0.0481099656357388,0.0773195876288659,0.0,0.0,0.0,0.0,0.026666666666666596,0.0266666666666666,0.0533333333333333,0.0533333333333333,139,267,386.0,229.0,247.6666666666666,263.66666666666663,31,13,20.221606648199444,0.0,0.04,0.08,0.08,0.0133928571428571,0.0267857142857142,0.0669642857142857,0.0892857142857142,98,582,25,224,100.40584312346238,109.2077530825231,0.0,0.0641500299099584,0.0641500299099584,0.0641500299099584,0.0135228960987377,0.020546760980320395,0.0696360776586264,0.118660138180021,0.0,0.013333333333333317,0.0,-0.05555555555555547,-0.05555555555555547,0.007838827838827798,0.015677655677655597,0.01567765567765562,489,182,108,98,998,74,118,19,34,48,21,50,30,39,37,25,45,27,15,12,51,95,99,155,26,38,48,93,41,56,66,44,31
steven-kruijswijk,2014,8,92,0.0094339622641509,0.0283018867924528,0.0471698113207547,0.0943396226415094,0.0031007751937984,0.029457364341085205,0.0465116279069767,0.11627906976744182,0.0,0.0,0.0,0.0,0.0108695652173913,0.0434782608695652,0.0543478260869565,0.1195652173913043,520,120,102.0,430.99999999999994,274.6666666666667,288.3333333333333,27,11,19.883853048857468,0.0,0.0,0.0,0.0,0.0039525691699604,0.0316205533596837,0.0474308300395256,0.1067193675889328,106,645,26,253,214.861195503826,168.79079753746447,0.0,0.0,0.0,0.0,0.006275546404235,0.0167008479819203,0.0324244784400077,0.0649187213279597,0.0,0.005434782608695596,0.0,0.0,0.0,0.0027517886626307183,-0.010800770500825502,-0.022495872317006022,58,102,74,28,47,84,58,43,84,20,58,47,71,21,89,38,28,38,42,52,28,15,36,18,29,18,21,34,8,39,27,26,37
steven-kruijswijk,2015,7,95,0.0088495575221238,0.0265486725663716,0.0442477876106194,0.0973451327433628,0.0027027027027027,0.0297297297297297,0.051351351351351306,0.1256756756756756,0.0,0.0,0.0,0.1428571428571428,0.0,0.031578947368421,0.0842105263157894,0.1894736842105263,120,58,431.0,670.0,232.66666666666657,400.99999999999994,28,12,19.883853048857468,0.0,0.0,0.0,0.0476190476190476,0.0037174721189591,0.0297397769516728,0.0520446096654275,0.11895910780669142,113,740,21,269,250.76150688120643,285.18590427999766,0.0,0.0,0.0,0.0824786098842322,0.006275546404235,0.0157900872395076,0.0361820623069513,0.076537232098954,0.0,0.0,0.0,0.0,0.0714285714285714,0.009691912708600712,0.03600770218228489,0.07644415917843382,102,74,28,47,998,77,116,62,16,36,58,35,47,24,38,28,27,28,29,17,39,21,7,36,55,21,49,15,25,7,16,20,14
svein-tuft,2007,9,56,0.1428571428571428,0.3571428571428571,0.4642857142857143,0.5357142857142857,0.0292397660818713,0.0701754385964912,0.0935672514619883,0.1578947368421052,0.1111111111111111,0.2222222222222222,0.4444444444444444,0.4444444444444444,0.0357142857142857,0.0892857142857142,0.0892857142857142,0.1964285714285714,858,307,53.00000000000001,192.0,713.0,93.33333333333314,30,8,25.142857142857142,0.1666666666666666,0.2777777777777778,0.4444444444444445,0.5555555555555556,0.0373831775700934,0.0841121495327102,0.102803738317757,0.1869158878504672,28,171,18,106,356.35796609589084,85.92050589546906,0.1156481110814518,0.0641500299099584,0.0848625128695526,0.1283000598199168,0.0323197238228238,0.018199969646728,0.0205647581599047,0.0213927197898806,-0.1111111111111111,0.017857142857142787,-0.05555555555555548,0.05555555555555547,-0.1111111111111111,-0.005357142857142815,-0.005357142857142811,-0.0017857142857141814,127,390,106,286,92,78,41,88,28,42,55,87,51,48,34,51,49,63,87,90,79,151,101,58,62,87,74,90,53,75,69,72,63
svein-tuft,2008,9,27,0.1621621621621621,0.3513513513513513,0.43243243243243235,0.5135135135135135,0.0353535353535353,0.0808080808080808,0.101010101010101,0.1717171717171717,0.2222222222222222,0.3333333333333333,0.3333333333333333,0.4444444444444444,0.07407407407407399,0.1481481481481481,0.1481481481481481,0.2592592592592592,307,127,192.0,410.0,430.6666666666668,218.3333333333333,31,9,25.142857142857142,0.1666666666666666,0.2916666666666667,0.4166666666666667,0.5,0.0526315789473684,0.0964912280701754,0.1140350877192982,0.2017543859649122,37,198,24,114,380.8678686018726,179.95091923447723,0.0555555555555555,0.0641500299099584,0.0848625128695526,0.1283000598199168,0.0199681991131864,0.0429585713124444,0.030027740275338402,0.0496324900633218,0.02777777777777768,0.004778972520908006,0.0,-0.08333333333333331,-0.1111111111111111,0.041816009557945,0.00955794504181598,0.048984468339307016,390,106,286,92,239,51,50,69,27,32,26,38,64,74,79,12,53,72,87,91,124,117,100,82,97,47,89,69,50,93,109,68,106
svein-tuft,2009,7,81,0.1590909090909091,0.3181818181818182,0.3863636363636363,0.4545454545454544,0.025089605734767,0.064516129032258,0.082437275985663,0.1469534050179211,0.1428571428571428,0.1428571428571428,0.1428571428571428,0.1428571428571428,0.0,0.0246913580246913,0.037037037037037,0.0864197530864197,127,390,410.0,142.0,274.6666666666667,248.00000000000006,32,10,25.142857142857142,0.16,0.24,0.32,0.36,0.024390243902439,0.0670731707317073,0.073170731707317,0.1524390243902439,44,279,25,164,134.4482552260658,142.50614021858848,0.0572309726264125,0.0956779964022493,0.1525241831259214,0.1741215097556014,0.0370449097200969,0.0617505681601022,0.0555883522073817,0.0874863135394949,0.01587301587301581,-0.017857142857142787,-0.03968253968253958,-0.1507936507936507,-0.1507936507936507,-0.03229717813051141,-0.026124338624338595,-0.055004409171075797,106,286,92,239,202,136,59,78,40,46,21,79,45,62,63,84,55,63,83,69,77,115,54,49,62,62,57,115,45,75,113,73,30
