rider_name,year,Number_of_participated_one_day_races_current_year,Number_of_participated_multi_day_races_current_year,win_ratio_all_time,top3_ratio_all_time,top5_ratio_all_time,top10_ratio_all_time,stage_win_ratio_all_time,stage_top3_ratio_all_time,stage_top5_ratio_all_time,stage_top10_ratio_all_time,win_ratio,top3_ratio,top5_ratio,top10_ratio,stage_win_ratio,stage_top3_ratio,stage_top5_ratio,stage_top10_ratio,pcs_rank_previous_year,pcs_rank_current_year,pcs_points_previous_year,pcs_points_current_year,rank_avg_last3years,pcs_points_avg_last3years,age,career year,rider_bmi,win_ratio_slope,stage_win_ratio_slope,top3_ratio_slope,top5_ratio_slope,top10_ratio_slope,stage_top3_ratio_slope,stage_top5_ratio_slope,stage_top10_ratio_slope,win_ratio_last3years,top3_ratio_last3years,top5_ratio_last3years,top10_ratio_last3years,stage_win_ratio_last3years,stage_top3_ratio_last3years,stage_top5_ratio_last3years,stage_top10_ratio_last3years,Number_of_participated_one_day_races_all_time,Number_of_participated_multi_day_races_all_time,Number_of_participated_one_day_races_last3years,Number_of_participated_multi_day_races_last3years,rank_stdev_last3years,pcs_points_stdev_last3years,win_ratio_stdev_last3years,top3_ratio_stdev_last3years,top5_ratio_stdev_last3years,top10_ratio_stdev_last3years,stage_win_ratio_stdev_last3years,stage_top3_ratio_stdev_last3years,stage_top5_ratio_stdev_last3years,stage_top10_ratio_stdev_last3years,result_tour-de-france,result_giro-d-italia,result_vuelta-a-espana,result_tour-down-under,result_paris-nice,result_tirreno-adriatico,result_volta-a-catalunya,result_itzulia-basque-country,result_tour-de-romandie,result_dauphine,result_tour-de-suisse,result_tour-de-pologne,result_milano-sanremo,result_ronde-van-vlaanderen,result_paris-roubaix,result_liege-bastogne-liege,result_il-lombardia,result_strade-bianche,result_great-ocean-race,result_e3-harelbeke,result_gent-wevelgem,result_la-fleche-wallone,result_amstel-gold-race,result_san-sebastian,result_bretagne-classic,result_cyclassics-hamburg,result_gp-quebec,result_gp-montreal,in_top20_next_year,Prediction
wout-van-aert,2019,10.0,24.0,0.0961538461538461,0.2692307692307692,0.3269230769230769,0.4423076923076923,0.074074074074074,0.1759259259259259,0.1851851851851851,0.2962962962962963,0.1,0.4,0.4,0.5,0.2083333333333333,0.33333333333333326,0.3333333333333333,0.4166666666666667,95.0,53.0,551.0,852.0,87.99999999999999,619.6666666666666,25.0,8.0,21.606648199445985,-0.09999999999999987,0.1041666666666666,-0.09999999999999987,-0.09999999999999987,-0.09999999999999987,0.09848484848484841,0.09848484848484841,0.1174242424242424,0.1212121212121212,0.3636363636363636,0.3636363636363636,0.5151515151515151,0.109375,0.25,0.25,0.34375,52.0,108.0,33.0,64.0,32.07802986469088,206.7373535027798,0.1527525231651946,0.22347444686667609,0.22347444686667609,0.1595729013589908,0.1042437986036824,0.1015557651976813,0.10155576519768131,0.14427864799000303,109.0,122.0,64.0,60.0,32.0,29.0,12.000000000000002,39.0,100.0,47.0,89.0,105.0,6.0,13.999999999999998,22.0,78.0,73.0,3.0,53.00000000000001,2.0,28.999999999999996,12.0,58.00000000000001,107.0,11.0,2.0,70.99999999999999,8.0,1.0,0.0
yves-lampaert,2019,18.0,81.0,0.0424242424242424,0.0909090909090909,0.1575757575757575,0.2545454545454545,0.028169014084507005,0.0865191146881287,0.1227364185110664,0.2112676056338028,0.0,0.1666666666666666,0.2222222222222222,0.4444444444444444,0.074074074074074,0.1604938271604938,0.2469135802469135,0.382716049382716,58.0,37.0,815.0,960.9999999999999,64.66666666666669,769.3333333333335,28.0,11.999999999999998,23.148148148148145,-0.05555555555555547,0.030626780626780606,0.02777777777777768,0.05555555555555547,0.11111111111111116,0.05460588793922118,0.0785849952516619,0.10802469135802463,0.0769230769230769,0.173076923076923,0.2307692307692307,0.3461538461538461,0.0378151260504201,0.1176470588235294,0.1680672268907563,0.2605042016806723,165.0,497.0,52.0,238.0,31.53305144341938,218.115412874316,0.0685122619766145,0.069905874400655,0.1324915557523535,0.11368545516489512,0.0323662702631366,0.057901648582101194,0.0786151587925605,0.1113587184624038,133.0,123.0,84.00000000000001,91.0,5.0,61.0,88.0,39.0,48.0,114.0,77.0,112.0,66.0,17.0,3.0,16.0,5.0,11.0,26.0,18.0,77.0,7.0,6.0,43.0,122.0,63.0,115.99999999999999,28.999999999999996,0.0,0.0
zdenek-stybar,2019,13.0,66.0,0.0461538461538461,0.1384615384615384,0.1769230769230769,0.3461538461538461,0.0312965722801788,0.0909090909090909,0.1281669150521609,0.20268256333830104,0.1538461538461538,0.1538461538461538,0.2307692307692307,0.3846153846153846,0.0151515151515151,0.0454545454545454,0.0606060606060606,0.1515151515151515,78.0,39.0,678.0,953.0,71.66666666666669,722.6666666666665,34.0,17.0,20.305174833527424,0.04567307692307687,0.007575757575757492,0.014423076923076872,0.021634615384615308,0.06730769230769229,0.009213759213759174,0.016789516789516724,0.04197379197379187,0.0612244897959183,0.0816326530612244,0.1428571428571428,0.3877551020408163,0.0097560975609756,0.048780487804877995,0.0634146341463414,0.1170731707317073,130.0,671.0,49.0,205.0,30.0055550412475,211.56638044201003,0.0773724852857263,0.0817778898857248,0.0943892570902186,0.1251232134355329,0.0088157920577961,0.0252304634103682,0.0405206812742527,0.0451729062851936,101.99999999999999,80.0,55.0,89.0,2.0,36.0,35.0,53.0,21.0,69.99999999999999,70.0,58.0,67.0,35.99999999999999,8.0,17.999999999999996,20.0,4.0,103.0,1.0,35.0,55.0,13.0,25.999999999999996,5.999999999999999,86.99999999999999,6.0,35.0,0.0,0.0
adam-yates,2020,1.0,37.0,0.0434782608695652,0.0869565217391304,0.1304347826086956,0.2318840579710145,0.0291595197255574,0.11149228130360202,0.1749571183533447,0.2950257289879931,0.0,0.0,0.0,0.0,0.054054054054054,0.1081081081081081,0.1351351351351351,0.3243243243243243,20.0,38.0,1306.0,690.0,32.99999999999996,984.6666666666665,28.0,11.999999999999998,19.37919743392696,0.0,0.015791071970847195,0.0,0.0,0.0,-0.0021257212268447913,-0.044791982994230095,0.004858791375645334,0.0,0.0714285714285714,0.1428571428571428,0.1428571428571428,0.0568720379146919,0.1421800947867298,0.2464454976303317,0.3696682464454976,69.0,583.0,14.000000000000002,211.0,11.357816691600549,308.86458737338813,0.0,0.0641500299099584,0.1283000598199168,0.1283000598199168,0.0359064407476978,0.0450843083583362,0.0912610674319746,0.0738260824779324,9.0,1.0,8.0,49.0,14.0,5.0,34.0,29.0,1.0,17.0,29.0,64.0,25.000000000000004,90.0,90.00000000000001,47.0,38.0,61.99999999999999,29.0,11.0,16.0,3.0,26.000000000000004,12.0,65.0,49.0,97.0,30.999999999999996,1.0,1.0
alberto-bettiol,2020,7.0,41.0,0.0074626865671641,0.0522388059701492,0.0970149253731343,0.1641791044776119,0.0156657963446475,0.04177545691906,0.0652741514360313,0.1201044386422976,0.0,0.0,0.2857142857142857,0.2857142857142857,0.024390243902439,0.048780487804878,0.09756097560975609,0.12195121951219512,78.0,82.0,679.0,408.99999999999994,316.0,384.33333333333326,27.0,11.0,21.29629629629629,0.0,-0.0016937669376692938,0.0,0.1428571428571428,0.1428571428571428,-0.0033875338753386855,0.02100271002710022,0.005420054200541974,0.0222222222222222,0.0666666666666666,0.1333333333333333,0.1555555555555555,0.0158730158730158,0.0476190476190476,0.0714285714285714,0.11904761904761899,134.0,383.0,45.0,126.0,408.7688833558641,307.74231644889744,0.0303868562731381,0.0911605688194145,0.1481031248390391,0.1588466353633165,0.015154561038669898,0.0073776043997867,0.0227922952283245,0.0064070661113384,62.0,24.000000000000004,74.0,76.0,44.0,46.0,7.0,64.0,11.000000000000002,40.0,11.0,120.0,18.0,16.0,4.0,13.999999999999998,22.0,4.0,70.0,8.0,4.0,81.0,11.0,9.0,9.0,138.0,75.0,30.999999999999996,0.0,0.0
alejandro-valverde,2020,4.0,79.0,0.1290322580645161,0.3548387096774194,0.4354838709677419,0.5604838709677419,0.0996078431372549,0.2439215686274509,0.3262745098039216,0.4650980392156862,0.0,0.25,0.25,0.75,0.0,0.0379746835443038,0.0886075949367088,0.189873417721519,2.0,22.0,2291.0,842.0,8.333333333333329,2016.0,40.0,23.999999999999996,19.4707778735357,-0.05882352941176472,-0.0961538461538461,-0.11029411764705882,-0.2279411764705882,0.022058823529411686,-0.12203829925348911,-0.1159526127880558,-0.12301200908795837,0.0789473684210526,0.3684210526315789,0.5263157894736842,0.6842105263157895,0.0781893004115226,0.1810699588477366,0.2551440329218107,0.3703703703703703,248.0,1275.0,38.0,243.0,11.846237095944574,1063.5088151961882,0.0588235294117647,0.1167243225469672,0.231121083022084,0.0516453615335918,0.100334500917352,0.1270051846348761,0.1427712370908346,0.1551832853094132,12.0,3.0000000000000004,10.0,34.0,35.0,18.0,4.0,7.0,75.0,12.000000000000002,105.0,110.0,15.0,16.0,57.0,4.0,5.0,47.0,9.0,40.0,25.0,3.0,5.0,3.0,11.0,3.0,15.0,98.0,1.0,1.0
aleksandr-vlasov,2020,4.0,52.0,0.0517241379310344,0.0862068965517241,0.1206896551724138,0.2586206896551724,0.0342465753424657,0.1335616438356164,0.2568493150684932,0.41780821917808225,0.5,0.75,1.0,1.0,0.0576923076923076,0.1923076923076923,0.3653846153846153,0.4615384615384615,119.0,13.0,514.0,1023.0,182.33333333333337,563.3333333333334,24.0,8.0,19.65545149728292,0.25,0.010096153846153802,0.375,0.5,0.4374999999999999,0.03990384615384607,0.05769230769230761,0.037019230769230735,0.12,0.16,0.2,0.32,0.0394088669950738,0.1576354679802955,0.3103448275862069,0.4679802955665024,58.0,292.0,25.0,203.0,208.34906607262087,437.093048827516,0.2692307692307693,0.4126034626090794,0.556475241390018,0.4775856130072171,0.01509095453988,0.0436620285393038,0.06029226479609069,0.0883056468619009,54.00000000000001,2.0,11.0,100.0,39.0,5.0,6.000000000000001,10.0,3.0,23.0,89.0,5.0,5.0,2.0,7.0,2.0,3.0,5.0,14.000000000000002,16.0,42.0,1.0,3.0,16.0,1.0,6.0,2.0,19.0,0.0,1.0
aleksey-lutsenko,2020,4.0,46.0,0.1052631578947368,0.1491228070175438,0.175438596491228,0.2017543859649122,0.041907514450867,0.1054913294797687,0.1416184971098266,0.2210982658959537,0.0,0.0,0.0,0.0,0.0434782608695652,0.1739130434782608,0.217391304347826,0.2826086956521739,22.0,64.0,1287.0,496.0,53.6666666666667,832.0000000000001,28.0,11.999999999999998,22.587833094227893,-0.09999999999999998,0.00031055900621109893,-0.09999999999999998,-0.1333333333333333,-0.1333333333333333,0.00838509316770181,0.008695652173913016,0.012732919254658331,0.2121212121212121,0.2424242424242424,0.303030303030303,0.3333333333333333,0.074074074074074,0.164021164021164,0.2116402116402116,0.3068783068783068,113.99999999999999,692.0,33.0,189.0,27.970222261064237,408.70649615585995,0.1466171839841966,0.1789994869448809,0.216409231328943,0.2501851166488378,0.0462583283761323,0.0084110837136413,0.0105944079474115,0.0591152245515664,46.0,3.0000000000000004,78.0,39.0,37.99999999999999,3.0,16.0,32.0,30.000000000000004,34.99999999999999,79.0,11.999999999999998,55.0,61.0,29.0,43.0,82.0,15.000000000000002,54.0,7.0,12.0,54.00000000000001,77.0,7.0,4.0,101.0,119.0,66.0,0.0,0.0
alessandro-covi,2020,13.0,25.0,0.0327868852459016,0.0491803278688524,0.081967213114754,0.1639344262295081,0.0155038759689922,0.0620155038759689,0.1317829457364341,0.2790697674418604,0.0,0.0769230769230769,0.0769230769230769,0.2307692307692307,0.0,0.0,0.0,0.12,1484.0,264.0,15.0,128.0,1167.0000000000002,51.00000000000007,22.0,5.999999999999999,20.37037037037037,0.0,-0.013888888888888801,0.038461538461538436,0.038461538461538436,0.11538461538461531,-0.027777777777777703,-0.05555555555555549,-0.05111111111111111,0.0,0.024390243902439,0.048780487804878,0.1219512195121951,0.0097087378640776,0.029126213592233,0.0970873786407767,0.1941747572815534,61.0,129.0,41.0,103.0,793.5029930630382,66.73080248281148,0.0,0.044411559168432695,0.0408889449428624,0.1155180851983339,0.0160375074774896,0.0278720998752717,0.0750129464484541,0.0568655824329664,82.0,17.0,20.0,90.0,13.0,125.99999999999999,120.0,72.0,22.000000000000004,30.0,49.0,91.0,85.0,88.00000000000001,106.99999999999999,64.0,33.0,72.0,19.0,24.0,153.0,99.0,36.0,50.0,21.0,46.0,87.0,74.0,0.0,0.0
alex-aranburu,2020,9.0,44.0,0.0317460317460317,0.0634920634920634,0.0634920634920634,0.1269841269841269,0.0089020771513353,0.0385756676557863,0.0801186943620178,0.1602373887240356,0.0,0.1111111111111111,0.1111111111111111,0.3333333333333333,0.0,0.0,0.0681818181818181,0.1363636363636363,183.0,116.0,354.0,320.00000000000006,182.66666666666663,310.3333333333332,25.0,8.0,19.883853048857468,-0.0625,0.0,-0.00694444444444442,-0.00694444444444442,0.10416666666666663,-0.012345679012345607,0.0093995510662177,-0.00589225589225584,0.0357142857142857,0.1071428571428571,0.1071428571428571,0.1785714285714285,0.014492753623188403,0.0434782608695652,0.0869565217391304,0.1594202898550724,63.00000000000001,337.0,28.000000000000004,207.0,66.5006265634643,49.21720566360237,0.0721687836487032,0.0171426025710574,0.0171426025710574,0.1312341934452744,0.0211225708240107,0.0439287046481297,0.0445151599010276,0.0242093725374155,74.0,76.0,75.0,62.0,36.0,43.0,41.0,38.0,27.0,72.0,103.0,23.999999999999996,7.0,13.999999999999998,65.0,21.0,81.0,22.0,70.0,10.000000000000002,7.0,13.0,11.0,46.0,44.0,99.00000000000001,12.0,32.0,0.0,0.0
