rider_name,year,Number_of_participated_one_day_races,Number_of_participated_multi_day_races,win_ratio_all_time,top3_ratio_all_time,top5_ratio_all_time,top10_ratio_all_time,stage_win_ratio_all_time,stage_top3_ratio_all_time,stage_top5_ratio_all_time,stage_top10_ratio_all_time,win_ratio,top3_ratio,top5_ratio,top10_ratio,stage_win_ratio,stage_top3_ratio,stage_top5_ratio,stage_top10_ratio,pcs_rank_previous_year,pcs_rank_current_year,pcs_points_previous_year,pcs_points_current_year,age,career year,win_ratio_slope,stage_win_ratio_slope,top3_ratio_slope,top5_ratio_slope,top10_ratio_slope,stage_top3_ratio_slope,stage_top5_ratio_slope,stage_top10_ratio_slope,in_top20_next_year
alessandro-bertolini,2009,17,52,0.058479532,0.105263158,0.134502924,0.269005848,0.014492754,0.035426731,0.057971014,0.086956522,0,0,0.117647059,0.235294118,0,0,0.038461538,0.057692308,215,323,284,177,38,14,-0.076923077,-0.020833333,-0.153846154,-0.095022624,-0.093891403,-0.041666667,-0.064102564,-0.054487179,0
alessandro-bertolini,2010,15,45,0.053763441,0.102150538,0.129032258,0.268817204,0.015015015,0.034534535,0.055555556,0.085585586,0,0.066666667,0.066666667,0.266666667,0.022222222,0.022222222,0.022222222,0.066666667,323,383,177,151,39,15,-0.0625,0,-0.029166667,-0.029166667,-0.116666667,0,-0.011111111,-0.011111111,0
alessandro-covi,2020,13,25,0.032786885,0.049180328,0.081967213,0.163934426,0.015503876,0.062015504,0.131782946,0.279069767,0,0.076923077,0.076923077,0.230769231,0,0,0,0.12,1505,266,15,128,22,5,0,-0.013888889,0.038461538,0.038461538,0.115384615,-0.027777778,-0.055555556,-0.051111111,0
alessandro-petacchi,2007,13,86,0.1,0.166666667,0.2,0.277777778,0.161118509,0.245006658,0.295605859,0.364846871,0.153846154,0.230769231,0.230769231,0.384615385,0.139534884,0.279069767,0.325581395,0.348837209,24,18,979,1248,33,10,-0.137362637,-0.073089701,-0.17032967,-0.241758242,-0.164835165,-0.056893688,-0.051495017,-0.051771872,0
alessandro-petacchi,2008,7,37,0.113402062,0.175257732,0.206185567,0.278350515,0.157360406,0.237309645,0.285532995,0.352791878,0.285714286,0.285714286,0.285714286,0.285714286,0.081081081,0.081081081,0.081081081,0.108108108,18,183,1248,319,34,11,0.031746032,-0.070570571,-0.079365079,-0.079365079,-0.079365079,-0.098348348,-0.135385385,-0.131131131,0
alessandro-petacchi,2009,7,67,0.134615385,0.192307692,0.240384615,0.307692308,0.154385965,0.235087719,0.285380117,0.349707602,0.428571429,0.428571429,0.714285714,0.714285714,0.119402985,0.208955224,0.28358209,0.313432836,183,29,319,971,35,12,0.137362637,-0.010065949,0.098901099,0.241758242,0.164835165,-0.035057272,-0.020999653,-0.017702187,1
alessandro-petacchi,2010,6,76,0.136363636,0.2,0.245454545,0.309090909,0.15037594,0.235230934,0.285714286,0.349087003,0.166666667,0.333333333,0.333333333,0.333333333,0.105263158,0.236842105,0.289473684,0.342105263,29,17,971,1270,36,13,-0.05952381,0.012091038,0.023809524,0.023809524,0.023809524,0.077880512,0.104196302,0.116998578,0
alessandro-petacchi,2011,6,88,0.129310345,0.189655172,0.232758621,0.293103448,0.14033366,0.230618253,0.281648675,0.343473994,0,0,0,0,0.034090909,0.181818182,0.238636364,0.284090909,17,41,1270,807,37,14,-0.214285714,-0.042656038,-0.214285714,-0.357142857,-0.357142857,-0.013568521,-0.022472863,-0.014670963,0
alessandro-petacchi,2012,3,79,0.12605042,0.18487395,0.226890756,0.285714286,0.130236794,0.214025501,0.262295082,0.319672131,0,0,0,0,0,0,0.012658228,0.012658228,41,207,807,298,38,15,-0.083333333,-0.052631579,-0.166666667,-0.166666667,-0.166666667,-0.118421053,-0.138407728,-0.164723518,0
alessandro-petacchi,2013,12,44,0.114503817,0.167938931,0.20610687,0.259541985,0.125218914,0.205779335,0.252189142,0.307355517,0,0,0,0,0,0,0,0,207,353,298,156,39,16,0,-0.017045455,0,0,0,-0.090909091,-0.119318182,-0.142045455,0
