rider_slug,rank,pcs_points
thibaut-pinot,28,1064
dylan-groenewegen,29,1058
bauke-mollema,30,1050
baptiste-planckaert,31,1017
arnaud-demare,32,1013
rafal-majka,33,1005
ilnur-zakarin,34,970
joaquim-rodriguez,35,938
tom-boonen,36,925
gianluca-brambilla,37,895
sergio-luis-henao,38,888
timothy-dupont,39,882
geraint-thomas,40,878
jakob-fuglsang,41,849
bob-jungels,42,843
fernando-gaviria,43,822
wout-poels,44,816
niki-terpstra,45,811
giovanni-visconti,46,778
samuel-dumoulin,47,778
tony-gallopin,48,774
wilco-kelderman,49,772
fabio-aru,50,772
rohan-dennis,51,763
sep-vanmarcke,52,749
jarlinson-pantano,53,739
adam-yates,54,734
rigoberto-uran,55,713
tanel-kangert,56,701
zdenek-stybar,57,701
oliver-naesen,58,692
tony-martin,59,683
tim-wellens,60,676
fabio-felline,61,671
petr-vakoc,62,670
darwin-atapuma,63,665
matteo-trentin,64,663
miguel-angel-lopez,65,663
francesco-gavazzi,66,655
philippe-gilbert,67,645
dries-devenyns,68,644
andrew-talansky,69,636
sebastien-reichenbach,70,631
simon-yates,71,628
caleb-ewan,72,625
tejay-van-garderen,73,625
michal-kwiatkowski,74,623
ben-swift,75,621
warren-barguil,76,603
roman-kreuziger,77,602
jan-bakelants,78,590
john-degenkolb,79,585
pierre-latour,80,583
louis-meintjes,81,580
simon-gerrans,82,572
luis-leon-sanchez,83,572
sergio-pardilla,84,568
magnus-cort-nielsen,85,563
enrico-gasparotto,86,557
gianni-meersman,87,556
daniel-mclay,88,551
tiesj-benoot,89,550
sam-bennett,90,549
aleksey-lutsenko,91,548
alberto-bettiol,92,542
daniel-moreno,93,536
samuel-sanchez,94,531
diego-rosa,95,530
domenico-pozzovivo,96,528
jonathan-castroviejo,97,527
stephen-cummings,98,519
sacha-modolo,99,512
jurgen-roelandts,100,508
greg-van-avermaet,1,2525
peter-sagan,2,2218
christopher-froome,3,2172
alexander-kristoff,4,2132
tom-dumoulin,5,1965
alejandro-valverde,6,1788
vincenzo-nibali,7,1761
michael-matthews,8,1728
alberto-contador,9,1708
michal-kwiatkowski,10,1638
dan-martin,11,1579
nairo-quintana,12,1539
philippe-gilbert,13,1506
thibaut-pinot,14,1485
rigoberto-uran,15,1405
diego-ulissi,16,1391
elia-viviani,17,1381
mikel-landa,18,1357
andre-greipel,19,1334
arnaud-demare,20,1332
primoz-roglic,21,1328
ilnur-zakarin,22,1323
bauke-mollema,23,1318
fernando-gaviria,24,1311
romain-bardet,25,1304
matteo-trentin,26,1292
dylan-groenewegen,27,1263
edvald-boasson-hagen,28,1252
fabio-aru,29,1241
nacer-bouhanni,30,1232
tim-wellens,31,1213
marcel-kittel,32,1146
richie-porte,33,1126
sonny-colbrelli,34,1112
domenico-pozzovivo,35,1109
rui-costa,36,1098
rafal-majka,37,1092
julian-alaphilippe,38,1088
jasper-stuyven,39,1056
john-degenkolb,40,1010
dylan-teuns,41,1003
wilco-kelderman,42,1002
warren-barguil,43,969
tony-gallopin,44,968
adam-yates,45,950
oliver-naesen,46,918
simon-yates,47,914
michael-albasini,48,889
rohan-dennis,49,874
tiesj-benoot,50,867
sergio-luis-henao,51,860
sam-bennett,52,855
ion-izagirre,53,841
wout-poels,54,833
jean-pierre-drucker,55,807
geraint-thomas,56,802
lilian-calmejane,57,793
alexis-vuillermoz,58,788
tejay-van-garderen,59,770
marco-canola,60,765
bob-jungels,61,759
louis-meintjes,62,756
caleb-ewan,63,753
gianni-moscon,64,734
edward-theuns,65,709
nicolas-roche,66,705
jakob-fuglsang,67,693
damiano-caruso,68,672
sacha-modolo,69,667
giovanni-visconti,70,647
miguel-angel-lopez,71,645
egan-bernal,72,645
jakub-mareczko,73,644
steven-kruijswijk,74,622
stefan-kung,75,621
jasper-de-buyst,76,620
silvan-dillier,77,617
michael-woods,78,617
david-de-la-cruz,79,615
jens-keukeleire,80,607
george-bennett,81,604
simon-spilak,82,596
fabio-felline,83,593
jonathan-castroviejo,84,588
emanuel-buchmann,85,584
francesco-gavazzi,86,584
aleksey-lutsenko,87,581
magnus-cort-nielsen,88,579
soren-kragh-andersen,89,553
sam-oomen,90,548
sep-vanmarcke,91,547
luis-leon-sanchez,92,545
ben-hermans,93,542
brent-bookwalter,94,539
julien-simon,95,539
mattia-cattaneo,96,539
johan-esteban-chaves,97,538
zdenek-stybar,98,537
yves-lampaert,99,532
sylvain-chavanel,100,532
alejandro-valverde,1,2915
peter-sagan,2,2398
elia-viviani,3,2237
julian-alaphilippe,4,2064
simon-yates,5,1912
tom-dumoulin,6,1767
thibaut-pinot,7,1757
primoz-roglic,8,1666
geraint-thomas,9,1658
romain-bardet,10,1618
greg-van-avermaet,11,1588
miguel-angel-lopez,12,1568
tim-wellens,13,1496
michal-kwiatkowski,14,1465
michael-matthews,15,1441
arnaud-demare,16,1406
alexander-kristoff,17,1398
christopher-froome,18,1394
nairo-quintana,19,1294
ion-izagirre,20,1269
sonny-colbrelli,21,1266
pascal-ackermann,22,1244
jasper-stuyven,23,1236
egan-bernal,24,1204
domenico-pozzovivo,25,1192
bauke-mollema,26,1167
niki-terpstra,27,1149
steven-kruijswijk,28,1128
michael-valgren-andersen,29,1103
jakob-fuglsang,30,1097
rohan-dennis,31,1051
oliver-naesen,32,1013
rigoberto-uran,33,1009
gianni-moscon,34,1007
dan-martin,35,997
bob-jungels,36,996
john-degenkolb,37,992
dylan-teuns,38,991
philippe-gilbert,39,966
dylan-groenewegen,40,963
adam-yates,41,958
tiesj-benoot,42,957
george-bennett,43,946
rafal-majka,44,944
matej-mohoric,45,941
daryl-impey,46,927
sam-bennett,47,896
diego-ulissi,48,896
enric-mas,49,896
eduard-prades,50,884
michael-woods,51,876
christophe-laporte,52,868
mikel-landa,53,866
richard-carapaz,54,845
pierre-latour,55,834
timothy-dupont,56,829
davide-formolo,57,820
yves-lampaert,58,815
emanuel-buchmann,59,812
maximilian-schachmann,60,809
luis-leon-sanchez,61,807
patrick-konrad,62,806
andrea-pasqualon,63,805
wilco-kelderman,64,795
danny-van-poppel,65,787
richie-porte,66,776
vincenzo-nibali,67,767
caleb-ewan,68,764
andre-greipel,69,754
gorka-izagirre,70,750
sam-oomen,71,749
fabio-jakobsen,72,743
damiano-caruso,73,739
marc-soler,74,732
aleksey-lutsenko,75,713
edvald-boasson-hagen,76,706
fernando-gaviria,77,699
zdenek-stybar,78,678
soren-kragh-andersen,79,645
mads-pedersen,80,642
magnus-cort-nielsen,81,629
hugo-hofstetter,82,619
rui-costa,83,602
tejay-van-garderen,84,600
manuel-belletti,85,599
matteo-trentin,86,593
alvaro-jose-hodeg,87,593
pello-bilbao,88,589
ilnur-zakarin,89,578
roman-kreuziger,90,571
ivan-ramiro-sosa,91,560
wout-poels,92,560
david-de-la-cruz,93,559
lilian-calmejane,94,555
wout-van-aert,95,551
toms-skujins,96,549
sep-vanmarcke,97,549
sergei-chernetski,98,548
giacomo-nizzolo,99,544
tony-gallopin,100,542
primoz-roglic,1,2818
alejandro-valverde,2,2291
julian-alaphilippe,3,2260
jakob-fuglsang,4,2143
egan-bernal,5,1991
elia-viviani,6,1928
pascal-ackermann,7,1912
greg-van-avermaet,8,1829
caleb-ewan,9,1663
peter-sagan,10,1647
alexander-kristoff,11,1622
matteo-trentin,12,1605
tadej-pogacar,13,1515
emanuel-buchmann,14,1378
dylan-groenewegen,15,1351
mathieu-van-der-poel,16,1337
oliver-naesen,17,1332
bauke-mollema,18,1328
sam-bennett,19,1307
adam-yates,20,1306
nairo-quintana,21,1292
aleksey-lutsenko,22,1287
mike-teunissen,23,1250
diego-ulissi,24,1246
tim-wellens,25,1206
miguel-angel-lopez,26,1112
michael-matthews,27,1102
michael-woods,28,1100
maximilian-schachmann,29,1054
tiesj-benoot,30,1047
sergio-higuita,31,1022
guillaume-martin,32,1009
mikel-landa,33,998
richard-carapaz,34,986
vincenzo-nibali,35,972
rafal-majka,36,970
yves-lampaert,37,961
thibaut-pinot,38,959
zdenek-stybar,39,953
enric-mas,40,936
ion-izagirre,41,933
sonny-colbrelli,42,928
jasper-stuyven,43,928
daryl-impey,44,920
remco-evenepoel,45,916
felix-grossschartner,46,913
steven-kruijswijk,47,903
philippe-gilbert,48,903
dylan-teuns,49,886
david-gaudu,50,874
wout-poels,51,869
geraint-thomas,52,865
wout-van-aert,53,852
fernando-gaviria,54,849
arnaud-demare,55,843
jesus-herrada-lopez,56,831
stefan-kung,57,826
bryan-coquard,58,823
romain-bardet,59,810
pavel-sivakov,60,808
luis-leon-sanchez,61,799
rui-costa,62,798
kasper-asgreen,63,788
fabio-jakobsen,64,773
rohan-dennis,65,773
jasper-philipsen,66,772
dan-martin,67,745
richie-porte,68,737
amund-grondahl-jansen,69,727
davide-formolo,70,724
nils-politt,71,718
timothy-dupont,72,717
marc-sarreau,73,712
anthony-turgis,74,709
simon-yates,75,704
simon-clarke,76,704
baptiste-planckaert,77,703
alberto-bettiol,78,679
christophe-laporte,79,664
benoit-cosnefroy,80,662
giulio-ciccone,81,658
jack-haig,82,658
giovanni-visconti,83,644
andrea-vendrame,84,639
michal-kwiatkowski,85,635
laurens-de-plus,86,616
john-degenkolb,87,613
patrick-konrad,88,608
tom-van-asbroeck,89,608
warren-barguil,90,606
fausto-masnada,91,596
bob-jungels,92,593
ben-hermans,93,590
lilian-calmejane,94,585
giacomo-nizzolo,95,581
sep-vanmarcke,96,578
davide-cimolai,97,577
pello-bilbao,98,573
daniel-felipe-martinez,99,572
cees-bol,100,569
primoz-roglic,1,2431
tadej-pogacar,2,2063
wout-van-aert,3,1834
jakob-fuglsang,4,1329
diego-ulissi,5,1181
guillaume-martin,6,1165
arnaud-demare,7,1147
mathieu-van-der-poel,8,1136
richie-porte,9,1135
julian-alaphilippe,10,1119
richard-carapaz,11,1113
sam-bennett,12,1086
aleksandr-vlasov,13,1023
pascal-ackermann,14,964
wilco-kelderman,15,942
maximilian-schachmann,16,923
peter-sagan,17,899
remco-evenepoel,18,898
marc-hirschi,19,891
joao-almeida,20,875
caleb-ewan,21,865
alejandro-valverde,22,842
tao-geoghegan-hart,23,799
filippo-ganna,24,797
jai-hindley,25,790
dan-martin,26,787
soren-kragh-andersen,27,786
mads-pedersen,28,775
vincenzo-nibali,29,764
mikel-landa,30,763
george-bennett,31,748
nairo-quintana,32,747
florian-senechal,33,735
rafal-majka,34,726
miguel-angel-lopez,35,720
enric-mas,36,719
yves-lampaert,37,702
adam-yates,38,690
warren-barguil,39,671
simon-yates,40,665
daniel-felipe-martinez,41,664
giacomo-nizzolo,42,659
michael-matthews,43,656
pello-bilbao,44,646
michael-woods,45,641
jasper-philipsen,46,636
jasper-stuyven,47,634
michal-kwiatkowski,48,632
stefan-kung,49,628
benoit-cosnefroy,50,624
tom-dumoulin,51,615
thibaut-pinot,52,600
sepp-kuss,53,570
patrick-konrad,54,568
david-gaudu,55,562
hugh-carthy,56,554
greg-van-avermaet,57,553
alexander-kristoff,58,551
lennard-kamna,59,539
nacer-bouhanni,60,538
marc-soler,61,534
luka-mezgec,62,517
tiesj-benoot,63,516
aleksey-lutsenko,64,496
tim-merlier,65,487
simon-geschke,66,484
tim-wellens,67,461
rohan-dennis,68,452
felix-grossschartner,69,437
andrea-vendrame,70,435
kasper-asgreen,71,431
rui-costa,72,430
fausto-masnada,73,427
damiano-caruso,74,420
sergio-higuita,75,417
pavel-sivakov,76,416
egan-bernal,77,416
wout-poels,78,415
gorka-izagirre,79,415
matteo-trentin,80,414
brandon-mcnulty,81,413
alberto-bettiol,82,409
dylan-teuns,83,401
geraint-thomas,84,398
john-degenkolb,85,395
fernando-gaviria,86,395
oliver-naesen,87,389
dries-devenyns,88,388
dylan-van-baarle,89,373
jack-haig,90,368
johan-esteban-chaves,91,368
dion-smith,92,365
david-de-la-cruz,93,365
valentin-madouas,94,364
josef-cerny,95,363
jesus-herrada-lopez,96,361
daryl-impey,97,358
andrea-pasqualon,98,358
elia-viviani,99,356
rigoberto-uran,100,352
tadej-pogacar,1,3305.0
wout-van-aert,2,2812.8
primoz-roglic,3,2564.0
julian-alaphilippe,4,1965.0
joao-almeida,5,1714.0
sonny-colbrelli,6,1652.0
jasper-philipsen,7,1564.0
egan-bernal,8,1525.0
adam-yates,9,1500.0
mathieu-van-der-poel,10,1488.0
david-gaudu,11,1346.0
alejandro-valverde,12,1328.0
matej-mohoric,13,1324.0
jonas-vingegaard-rasmussen,14,1312.0
richard-carapaz,15,1306.0
michael-woods,16,1217.0
remco-evenepoel,17,1200.0
bauke-mollema,18,1170.0
tim-merlier,19,1164.0
kasper-asgreen,20,1161.0
enric-mas,21,1139.0
mark-cavendish,22,1112.2
jasper-stuyven,23,1096.0
stefan-kung,24,1072.0
giacomo-nizzolo,25,1068.0
ethan-hayter,26,1028.8
christophe-laporte,27,996.0
danny-van-poppel,28,946.0
matteo-trentin,29,923.0
michael-matthews,30,921.0
arnaud-demare,31,908.0
simon-yates,32,907.0
damiano-caruso,33,905.0
diego-ulissi,34,890.0
peter-sagan,35,881.0
guillaume-martin,36,875.0
ben-o-connor,37,863.0
mikkel-honore,38,847.2
maximilian-schachmann,39,846.0
dylan-van-baarle,40,845.0
aleksandr-vlasov,41,845.0
aleksey-lutsenko,42,844.0
romain-bardet,43,842.0
wilco-kelderman,44,819.0
florian-senechal,45,807.0
geraint-thomas,46,805.0
ion-izagirre,47,792.0
pascal-ackermann,48,785.0
richie-porte,49,784.5
pello-bilbao,50,779.0
mattia-cattaneo,51,769.0
jack-haig,52,761.0
nairo-quintana,53,743.0
elia-viviani,54,707.0
johan-esteban-chaves,55,701.0
rigoberto-uran,56,700.0
fabio-jakobsen,57,700.0
thomas-pidcock,58,695.0
benoit-cosnefroy,59,690.0
filippo-ganna,60,686.0
aurelien-paret-peintre,61,674.0
ben-hermans,62,663.4
tim-wellens,63,648.0
yves-lampaert,64,647.0
mads-pedersen,65,645.0
patrick-konrad,66,633.0
sam-bennett,67,630.0
sepp-kuss,68,628.0
neilson-powless,69,626.0
magnus-cort-nielsen,70,625.0
fausto-masnada,71,621.0
alexander-kristoff,72,618.0
alex-aranburu,73,616.0
dylan-teuns,74,616.0
miguel-angel-lopez,75,609.0
nils-politt,76,607.0
caleb-ewan,77,596.0
dan-martin,78,590.0
greg-van-avermaet,79,583.0
dorian-godon,80,580.0
marc-hirschi,81,567.0
mikel-landa,82,560.0
tiesj-benoot,83,559.0
gino-mader,84,557.0
michal-kwiatkowski,85,549.5
michael-valgren-andersen,86,546.0
anthony-turgis,87,532.0
hugh-carthy,88,532.0
franck-bonnamour,89,532.0
warren-barguil,90,529.0
connor-swift,91,526.0
valentin-madouas,92,525.0
gianni-vermeersch,93,524.0
jesus-herrada-lopez,94,522.0
jordi-meeus,95,522.0
gianni-moscon,96,521.0
nacer-bouhanni,97,520.0
alessandro-covi,98,513.0
tosh-van-der-sande,99,511.0
sergio-higuita,100,506.0
tadej-pogacar,1,3413.0
wout-van-aert,2,2862.0
remco-evenepoel,3,2733.0
jonas-vingegaard-rasmussen,4,2039.0
aleksandr-vlasov,5,1715.0
mads-pedersen,6,1500.0
jasper-philipsen,7,1490.0
pello-bilbao,8,1432.0
alexander-kristoff,9,1410.0
alejandro-valverde,10,1406.0
arnaud-demare,11,1359.0
stefan-kung,12,1332.7
arnaud-de-lie,13,1328.0
daniel-felipe-martinez,14,1279.0
enric-mas,15,1248.0
christophe-laporte,16,1237.0
mathieu-van-der-poel,17,1233.5
sergio-higuita,18,1232.0
jai-hindley,19,1206.0
primoz-roglic,20,1205.0
richard-carapaz,21,1204.0
michael-matthews,22,1162.7
adam-yates,23,1132.0
biniam-girmay,24,1103.0
thymen-arensman,25,1053.0
ethan-hayter,26,1007.0
carlos-rodriguez-cano,27,1006.0
guillaume-martin,28,1005.0
benoit-cosnefroy,29,1001.0
dylan-groenewegen,30,1000.0
geraint-thomas,31,985.0
romain-bardet,32,977.0
joao-almeida,33,971.0
olav-kooij,34,970.0
juan-ayuso-pesquera,35,959.0
tim-merlier,36,951.0
dylan-teuns,37,939.0
valentin-madouas,38,936.0
matej-mohoric,39,931.0
louis-meintjes,40,909.0
neilson-powless,41,897.0
mattias-skjelmose-jensen,42,890.0
hugo-hofstetter,43,889.0
ben-o-connor,44,878.0
simon-yates,45,866.0
fabio-jakobsen,46,854.0
david-gaudu,47,853.0
lorenzo-rota,48,818.0
mikel-landa,49,790.0
brandon-mcnulty,50,789.0
matteo-trentin,51,770.0
warren-barguil,52,766.0
diego-ulissi,53,758.0
danny-van-poppel,54,754.0
thibaut-pinot,55,736.0
benjamin-thomas-2,56,736.0
dylan-van-baarle,57,730.0
thomas-pidcock,58,718.0
sam-bennett,59,716.0
nairo-quintana,60,683.0
quinten-hermans,61,669.0
caleb-ewan,62,665.0
amaury-capiot,63,658.0
luca-mozzato,64,658.0
damiano-caruso,65,654.0
bauke-mollema,66,649.5
miguel-angel-lopez,67,647.0
julien-simon,68,642.0
marc-hirschi,69,631.0
simone-consonni,70,617.0
axel-zingle,71,615.0
rigoberto-uran,72,612.0
mauro-schmid,73,608.7
dries-van-gestel,74,592.0
jesus-herrada-lopez,75,589.0
pavel-sivakov,76,583.0
bryan-coquard,77,578.0
alberto-bettiol,78,575.0
jan-hirt,79,575.0
greg-van-avermaet,80,574.0
mark-cavendish,81,571.0
tim-wellens,82,568.0
magnus-sheffield,83,566.0
matis-louvel,84,564.0
domenico-pozzovivo,85,558.0
ivan-garcia-cortina,86,551.0
ruben-guerreiro,87,550.0
kevin-vauquelin,88,549.0
bob-jungels,89,546.0
alfred-wright,90,545.0
alex-aranburu,91,545.0
aleksey-lutsenko,92,544.0
ion-izagirre,93,544.0
michael-woods,94,539.0
tiesj-benoot,95,534.0
hugo-houle,96,531.0
giacomo-nizzolo,97,527.0
ivan-ramiro-sosa,98,526.0
vincenzo-albanese,99,521.0
phil-bauhaus,100,517.0
