rider_slug,rank,pcs_points
stephane-heulot,79,551
serguei-smetanine,80,550
pascal-herve,81,548
sergei-ivanov,82,540
johan-museeuw,83,536
giuseppe-guerini,84,534
lauri-aus,85,533
marc-streel,86,532
marcel-wust,87,531
servais-knaven,88,529
wilfried-peeters,89,527
felice-puttini,90,523
angel-edo,91,521
mikel-zarrabeitia,92,517
inigo-cuesta,93,514
massimo-podenzana,94,507
jo-planckaert,95,499
kurt-van-de-wouwer,96,492
dario-frigo,97,491
george-hincapie,98,488
laurent-jalabert,1,2354
frank-vandenbroucke,2,1895
erik-zabel,3,1800
davide-rebellin,4,1747
michael-boogerd,5,1740
markus-zberg,6,1507
andrei-tchmil,7,1469
francesco-casagrande,8,1449
wladimir-belli,9,1419
roberto-heras,10,1309
oscar-camenzind,11,1298
jaan-kirsipuu,12,1298
mario-cipollini,13,1282
alexandre-vinokourov,14,1222
tom-steels,15,1213
jeroen-blijlevens,16,1189
jan-ullrich,17,1154
alex-zulle,18,1141
abraham-olano-manzano,19,1117
romans-vainsteins,20,1113
mirko-celestino,21,1055
paolo-savoldelli,22,1041
jens-voigt,23,1036
paolo-bettini,24,1032
michele-bartoli,25,1005
laurent-dufaux,26,1001
igor-gonzalez-de-galdeano,27,993
marc-wauters,28,985
jose-maria-jimenez,29,965
sergio-barbero,30,960
george-hincapie,31,955
fernando-escartin,32,950
david-etxebarria,33,935
erik-dekker,34,934
gilberto-simoni,35,926
beat-zberg,36,914
peter-van-petegem,37,909
manuel-beltran,38,872
marco-pantani,39,871
daniele-nardello,40,867
stuart-o-grady,41,861
stephane-heulot,42,848
giuliano-figueras,43,845
johan-museeuw,44,841
richard-virenque,45,836
angel-luis-casero,46,833
dmitri-konychev,47,823
maarten-den-bakker,48,809
serhiy-honchar,49,808
melchor-mauri,50,798
lars-michaelsen,51,797
marco-velo,52,757
fabrizio-guidi,53,749
ivan-gotti,54,746
andrea-tafi,55,729
jean-cyril-robin,56,718
marco-serpellini,57,710
pavel-tonkov,58,684
leonardo-piepoli,59,683
robbie-mcewen,60,678
marc-streel,61,674
jo-planckaert,62,671
christophe-moreau,63,661
alberto-elli,64,656
gabriele-missaglia,65,649
tristan-hoffman,66,648
roberto-laiseka-jaio,67,638
mario-aerts,68,638
leon-van-bon,69,637
christopher-boardman,70,627
zbigniew-spruch,71,614
stefano-garzelli,72,610
wilfried-peeters,73,594
sergei-ivanov,74,591
francois-simon,75,589
roberto-sgambelluri,76,562
andrei-zintchenko,77,561
tyler-hamilton,78,559
gianni-faresin,79,558
massimo-donati,80,551
niki-aebersold,81,549
giovanni-lombardi,82,548
jonathan-vaughters,83,546
mikel-zarrabeitia,84,541
paolo-lanfranchi,85,534
juan-carlos-dominguez,86,531
michel-vanhaecke,87,527
lauri-aus,88,523
marcel-wust,89,523
geert-verheyen,90,509
miguel-angel-martin-perdiguero,91,508
benoit-salmon,92,505
unai-osa,93,505
danilo-di-luca,94,500
nicolaj-bo-larsen,95,489
udo-bolts,96,468
georg-totschnig,97,467
rolf-sorensen,98,464
kurt-van-de-wouwer,99,461
jose-alberto-martinez,100,449
erik-zabel,1,2329
francesco-casagrande,2,2045
romans-vainsteins,3,2027
jan-ullrich,4,1803
roberto-heras,5,1648
davide-rebellin,6,1520
laurent-jalabert,7,1510
oscar-freire,8,1399
andrei-tchmil,9,1332
paolo-bettini,10,1269
wladimir-belli,11,1267
andreas-kloden,12,1212
abraham-olano-manzano,13,1211
erik-dekker,14,1163
michele-bartoli,15,1084
gilberto-simoni,16,1078
stefano-garzelli,17,1070
alexandre-vinokourov,18,1042
joseba-beloki,19,1030
daniele-nardello,20,1024
christophe-moreau,21,1006
dario-frigo,22,1000
peter-van-petegem,23,979
fernando-escartin,24,974
jose-luis-rubiera,25,965
laurent-brochard,26,944
raimondas-rumsas-1,27,926
jens-voigt,28,923
pavel-tonkov,29,891
axel-merckx,30,878
francisco-mancebo,31,873
jaan-kirsipuu,32,846
leonardo-piepoli,33,826
richard-virenque,34,823
oscar-sevilla,35,811
markus-zberg,36,801
michael-boogerd,37,792
haimar-zubeldia,38,789
laurent-dufaux,39,785
