rider_name,year,pcs_points
jonas rutsch,2021,67.0
kristoffer halvorsen,2021,67.0
lukasz owsian,2021,66.0
marc sarreau,2021,66.0
norman vahtra,2021,66.0
marcus burghardt,2021,65.0
metkel eyob,2021,65.0
timo roosen,2021,64.0
alexandr riabushenko,2021,63.0
juri hollmann,2021,63.0
pawel cieslik,2021,63.0
wesley kreder,2021,63.0
andrea pasqualon,2021,61.0
bert van lerberghe,2021,61.0
brent van moer,2021,61.0
delio fernandez,2021,61.0
dmitriy gruzdev,2021,61.0
sergio luis henao,2021,61.0
david dekker,2021,60.0
fabian lienhard,2021,60.0
jack bauer,2021,59.0
mauro finetto,2021,59.0
milan menten,2021,59.0
pello bilbao,2021,59.0
tom devriendt,2021,58.0
cyril lemoine,2021,57.0
giulio ciccone,2021,57.0
cristian david pita,2021,55.0
gijs van hoecke,2021,55.0
lluis guillermo mas,2021,55.0
logan owen,2021,55.0
thomas boudat,2021,55.0
niki terpstra,2021,54.0
orluis aular,2021,54.0
alessandro de marchi,2021,53.0
quinten hermans,2021,53.0
alex kirsch,2021,52.0
matteo malucelli,2021,52.0
jefferson cepeda hernandez,2021,51.0
jens keukeleire,2021,51.0
rory townsend,2021,51.0
boy van poppel,2021,50.0
jakub otruba,2021,50.0
ylber sefa,2021,50.0
aaron gate,2021,49.0
adrian banaszek,2021,49.0
patrick gamper,2021,49.0
shane archbold,2021,49.0
antoine duchesne,2021,48.0
jan bakelants,2021,48.0
savva novikov,2021,48.0
barnabas peak,2021,47.0
kyle murphy,2021,47.0
robert power,2021,47.0
simon geschke,2021,47.0
tsgabu gebremaryam grmay,2021,47.0
dusan rajovic,2021,46.0
edvald boasson hagen,2021,46.0
senne leysen,2021,46.0
julien bernard,2021,45.0
nariyuki masuda,2021,45.0
emanuel buchmann,2021,44.0
fabio aru,2021,44.0
joey rosskopf,2021,44.0
santiago buitrago sanchez,2021,44.0
yuriy natarov,2021,44.0
alberto bettiol,2021,43.0
henok mulubrhan,2021,43.0
mykhaylo kononenko,2021,43.0
tobias foss,2021,43.0
emils liepins,2021,42.0
jean pierre drucker,2021,42.0
leonidas sebastian novoa,2021,42.0
jose tito hernandez,2021,41.0
robin carpenter,2021,41.0
yevgeniy fedorov,2021,41.0
aleksandr vlasov,2021,40.0
jaakko hanninen,2021,40.0
kevin van melsen,2021,39.0
muradjan halmuratov,2021,39.0
walter vargas,2021,39.0
alan riou,2021,38.0
bert de backer,2021,38.0
dan martin,2021,38.0
davide martinelli,2021,38.0
jasper de buyst,2021,38.0
sebastian langeveld,2021,38.0
simone velasco,2021,38.0
andreas leknessund,2021,37.0
joaquim silva,2021,37.0
luke rowe,2021,37.0
nickolas zukowsky,2021,37.0
stefano oldani,2021,37.0
thibault ferasse,2021,37.0
amund grondahl jansen,2021,36.0
clement carisey,2021,36.0
domenico pozzovivo,2021,36.0
jhonatan narvaez,2021,36.0
laurenz rex,2021,36.0
ramon sinkeldam,2021,36.0
tao geoghegan hart,2021,36.0
miguel eduardo florez,2021,35.0
sam oomen,2021,35.0
sebastian berwick,2021,35.0
ilan van wilder,2021,33.0
loic vliegen,2021,33.0
piotr brozyna,2021,33.0
dmitry strakhov,2021,32.0
maurits lammertink,2021,32.0
onur balkan,2021,32.0
pavel sivakov,2021,32.0
piotr havik,2021,32.0
sarawut sirironnachai,2021,32.0
filippo zana,2021,31.0
pieter vanspeybrouck,2021,31.0
ryan mullen,2021,31.0
connor brown2,2021,30.0
drikus coetzee,2021,30.0
eder frayre,2021,30.0
erik nordsaeter resell,2021,30.0
marco canola,2021,30.0
pieter serry,2021,30.0
filippo fiorelli,2021,29.0
manuel rodas,2021,29.0
patrick bevin,2021,29.0
tom bohli,2021,29.0
alexander kamp,2021,28.0
anthony perez,2021,28.0
august jensen,2021,28.0
frederik frison,2021,28.0
harold tejada,2021,28.0
johan jacobs,2021,28.0
martijn tusveld,2021,28.0
matthieu ladagnous,2021,28.0
nicolas edet,2021,28.0
robert gesink,2021,28.0
tom wirtgen,2021,28.0
xandro meurisse,2021,28.0
yauhen sobal,2021,28.0
yevgeniy gidich,2021,28.0
dries de bondt,2021,27.0
joris nieuwenhuis,2021,27.0
laurens de plus,2021,27.0
szymon sajnok,2021,27.0
thibault guernalec,2021,27.0
benjamin perry,2021,26.0
emil vinjebo,2021,26.0
julien trarieux,2021,26.0
laurens huys,2021,26.0
oscar sevilla,2021,26.0
sebastien grignard,2021,26.0
andre greipel,2021,25.0
ben swift,2021,25.0
carlos verona,2021,25.0
cristian raileanu,2021,25.0
daniil fominykh,2021,25.0
fernando barcelo,2021,25.0
laurent pichon,2021,25.0
nathan haas,2021,25.0
peerapol chawchiangkwang,2021,25.0
sylvain moniquet,2021,25.0
adne van engelen,2021,24.0
arne marit,2021,24.0
bert jan lindeman,2021,24.0
cedric beullens,2021,24.0
christoph pfingsten,2021,24.0
ahmet orken,2021,23.0
benjamin declercq,2021,23.0
eddy fine,2021,23.0
lilian calmejane,2021,23.0
luc wirtgen,2021,23.0
mark donovan,2021,23.0
marti marquez,2021,23.0
matthias brandle,2021,23.0
niklas larsen,2021,23.0
sander armee,2021,23.0
andre carvalho,2021,22.0
