rider_name,year,pcs_points
igor gonzalez de galdeano,1991,16.0
brian smith,1991,15.0
bruno risi,1991,15.0
claudio camin,1991,15.0
fabio casartelli,1991,15.0
godert de leeuw,1991,15.0
jacek mickiewicz,1991,15.0
marcello siboni,1991,15.0
mariano piccoli,1991,15.0
michel vanhaecke,1991,15.0
paolo lanfranchi,1991,15.0
patrick evenepoel,1991,15.0
peter van petegem,1991,15.0
rob mulders,1991,15.0
thierry dupuy,1991,15.0
zbigniew spruch,1991,15.0
giuseppe guerini,1991,14.0
jens voigt,1991,14.0
jose luis arrieta,1991,14.0
julio cesar cadena,1991,14.0
lars kristian,1991,14.0
laurent brochard,1991,14.0
lennie kristensen,1991,14.0
patrick jonker,1991,14.0
raymond meijs,1991,14.0
roland meier,1991,14.0
xavier jan,1991,14.0
gianvito martinelli,1991,12.0
jaan kirsipuu,1991,12.0
luis sequeira,1991,12.0
michael blaudzun,1991,12.0
renaud boxus,1991,12.0
simone biasci,1991,12.0
luis edgar espinosa sepulveda,1991,11.0
tristan hoffman,1991,11.0
arvis piziks,1991,10.0
daniele sgnaolin,1991,10.0
gian matteo fagnini,1991,10.0
jan boven,1991,10.0
juan carlos martin,1991,10.0
koos moerenhout,1991,10.0
lars michaelsen,1991,10.0
mario chiesa,1991,10.0
mauro bettin,1991,10.0
prudencio indurain,1991,10.0
remo rossi,1991,10.0
roberto petito,1991,10.0
steffen kjaergaard,1991,10.0
stephane cueff,1991,10.0
wladimir belli,1991,10.0
jeroen blijlevens,1991,9.0
jose rosa,1991,9.0
biagio conte,1991,8.0
fernando quevedo,1991,8.0
max van heeswijk,1991,8.0
alessandro baronti,1991,7.0
andrus aug,1991,7.0
carl roes,1991,7.0
hans de clercq,1991,7.0
laurent biondi,1991,7.0
tony rominger,1992,3063.0
miguel indurain,1992,2891.0
claudio chiappucci,1992,2611.0
gianni bugno,1992,2201.0
olaf ludwig,1992,2066.0
viatcheslav ekimov,1992,1654.0
raul alcala,1992,1616.0
laurent jalabert,1992,1605.0
johan museeuw,1992,1556.0
davide cassani,1992,1445.0
alex zulle,1992,1405.0
alex zulle2,1992,1405.0
andrew hampsten,1992,1354.0
jelle nijdam,1992,1349.0
giorgio furlan,1992,1338.0
erik breukink,1992,1328.0
jean francois bernard,1992,1306.0
beat zberg,1992,1269.0
stephen roche,1992,1224.0
luc leblanc,1992,1198.0
pedro delgado,1992,1196.0
franco chioccioli,1992,1173.0
federico echave,1992,1116.0
mario cipollini,1992,1098.0
frans maassen,1992,1077.0
steven rooks,1992,983.0
charly mottet,1992,945.0
johan bruyneel,1992,943.0
jesus montoya,1992,931.0
johan capiot,1992,931.0
maurizio fondriest,1992,905.0
fabian jeker,1992,900.0
hendrik redant,1992,897.0
rolf sorensen,1992,894.0
gert jan theunisse,1992,874.0
maximilian sciandri,1992,864.0
massimo ghirotto,1992,826.0
phil anderson,1992,823.0
thierry marie,1992,816.0
marco giovannetti,1992,801.0
dmitri konychev,1992,789.0
gerard rue,1992,769.0
franco vona,1992,768.0
edwig van hooydonck,1992,761.0
djamolidine abduzhaparov,1992,760.0
jean paul van poppel,1992,721.0
wilfried nelissen,1992,718.0
giancarlo perini,1992,692.0
laurent dufaux,1992,673.0
sean kelly,1992,654.0
greg lemond,1992,650.0
jean claude colotti,1992,640.0
ronan pensec,1992,640.0
guido bontempi,1992,632.0
luc roosen,1992,632.0
massimiliano lelli,1992,629.0
thomas wegmuller,1992,623.0
adriano baffi,1992,613.0
richard virenque,1992,608.0
eric boyer,1992,606.0
peter de clercq,1992,606.0
jerome simon,1992,592.0
laudelino cubino,1992,589.0
robert millar,1992,576.0
stefano colage,1992,568.0
gilbert duclos lassalle,1992,565.0
moreno argentin,1992,564.0
uwe raab,1992,559.0
mikel zarrabeitia,1992,555.0
francisco javier mauleon,1992,547.0
udo bolts,1992,547.0
giovanni fidanza,1992,541.0
dimitri zhdanov,1992,531.0
eric vanderaerden,1992,531.0
piotr ugrumov,1992,523.0
eddy bouwmans,1992,520.0
frank van den abeele,1992,517.0
adrie van der poel,1992,497.0
atle kvalsvoll,1992,494.0
peter pieters,1992,492.0
etienne de wilde,1992,490.0
armand de las cuevas,1992,486.0
dirk de wolf,1992,484.0
alberto elli,1992,479.0
jon unzaga,1992,472.0
jens heppner,1992,470.0
marc madiot,1992,469.0
andrei tchmil,1992,468.0
nico verhoeven,1992,468.0
laurent bezault,1992,467.0
gilles delion,1992,460.0
gianni faresin,1992,459.0
laurent fignon,1992,455.0
antonio martin,1992,454.0
eric caritoux,1992,443.0
arturas kasputis,1992,441.0
melchor mauri,1992,439.0
roberto conti,1992,439.0
alberto camargo,1992,437.0
heinrich trumheller,1992,435.0
louis de koning,1992,435.0
dominique arnould,1992,424.0
julian gorospe,1992,418.0
juan carlos gonzalez salvador,1992,414.0
sammie moreels,1992,409.0
thierry claveyrolat,1992,409.0
mathieu hermans,1992,406.0
pascal lino,1992,406.0
zenon jaskula,1992,403.0
jan nevens,1992,390.0
brian holm sorensen,1992,389.0
jesper skibby,1992,388.0
bruno cornillet,1992,383.0
